Name,Position,Country_from,Country_to,Transfer fee
Antony,Right Winger,Netherlands,England,95
Wesley Fofana,Centre-Back,England,England,80
Aurélien Tchouaméni,Defensive Midfield,Monaco,Spain,80
Darwin Núñez,Centre-Forward,Portugal,England,75
Casemiro,Defensive Midfield,Spain,England,70
Alexander Isak,Centre-Forward,Spain,England,70
Matthijs de Ligt,Centre-Back,Italy,Germany,67
Marc Cucurella,Left-Back,England,England,65
Erling Haaland,Centre-Forward,Germany,England,60
Richarlison,Centre-Forward,England,England,58
Raphinha,Right Winger,England,Spain,58
Lisandro Martínez,Centre-Back,Netherlands,England,57
Raheem Sterling,Left Winger,England,England,56
Gabriel Jesus,Centre-Forward,England,England,52
Jules Koundé,Centre-Back,Spain,Spain,50
Cristian Romero,Centre-Back,Italy,England,50
Kalvin Phillips,Defensive Midfield,England,England,49
Robert Lewandowski,Centre-Forward,Germany,Spain,45
Matheus Nunes,Central Midfield,Portugal,England,45
Lucas Paquetá,Attacking Midfield,France,England,42
Vitinha,Central Midfield,Portugal,France,41
Bremer,Centre-Back,Italy,Italy,41
Federico Chiesa,Right Winger,Italy,Italy,40
Nuno Mendes,Left-Back,Portugal,France,38
Kalidou Koulibaly,Centre-Back,Italy,England,38
Sven Botman,Centre-Back,France,England,37
Gianluca Scamacca,Centre-Forward,Italy,England,36
Fábio Vieira,Attacking Midfield,Portugal,England,35
Nayef Aguerd,Centre-Back,France,England,35
Oleksandr Zinchenko,Left-Back,England,England,35
Amadou Onana,Defensive Midfield,France,England,35
Sadio Mané,Left Winger,England,Germany,32
Gonçalo Guedes,Left Winger,Spain,England,32
Brenden Aaronson,Attacking Midfield,Austria,England,32
Charles De Ketelaere,Attacking Midfield,Belgium,Italy,32
Diego Carlos,Centre-Back,Spain,England,31
Sébastien Haller,Centre-Forward,Netherlands,Germany,31
Steven Bergwijn,Left Winger,England,Netherlands,31
Karim Adeyemi,Right Winger,Austria,Germany,30
Yves Bissouma,Central Midfield,England,England,29
Morgan Gibbs-White,Attacking Midfield,England,England,29
Amine Gouiri,Centre-Forward,France,France,28
David Raum,Left-Back,Germany,Germany,26
Luis Sinisterra,Left Winger,Netherlands,England,25
Nathan Collins,Centre-Back,England,England,24
Dwight McNeil,Left Winger,England,England,24
Fabián Ruiz ,Central Midfield,Italy,France,23
Joaquin Correa,Attacking Midfield,Italy,Italy,23
Calvin Bassey,Centre-Back,Scotland,Netherlands,23
JÃ rÃ mie Boga,Left Winger,Italy,Italy,22
Sofiane Diop,Left Winger,Monaco,France,22
Cheick Doucouré,Defensive Midfield,France,England,22
Ederson,Central Midfield,Italy,Italy,21
Timo Werner,Centre-Forward,England,Germany,20
Nico Schlotterbeck,Centre-Back,Germany,Germany,20
Merih Demiral,Centre-Back,Italy,Italy,20
João Palhinha,Defensive Midfield,Portugal,England,20
Maxwel Cornet,Left Winger,England,England,20
Taiwo Awoniyi,Centre-Forward,Germany,England,20
Philippe Coutinho,Left Winger,Spain,England,20
David Carmo,Centre-Back,Portugal,Portugal,20
Neco Williams,Right-Back,England,England,20
Mathys Tel,Centre-Forward,France,Germany,20
Nahuel Molina,Right-Back,Italy,Spain,20
Arnaud Kalimuendo,Centre-Forward,France,France,20
Umar Sadiq,Centre-Forward,Spain,Spain,20
Keane Lewis-Potter,Left Winger,England,England,19
Arthur Theate,Centre-Back,Italy,France,19
Hassane Kamara,Left-Back,England,Italy,19
Carlos Soler,Central Midfield,Spain,France,18
Ryan Gravenberch,Central Midfield,Netherlands,Germany,18
Sasa Kalajdzic,Centre-Forward,Germany,England,18
Min-jae Kim,Centre-Back,Turkey,Italy,18
Carney Chukwuemeka,Central Midfield,England,England,18
Destiny Udogie,Left-Back,Italy,England,18
Manuel Akanji,Centre-Back,Germany,England,17
Pervis Estupiñán,Left-Back,Spain,England,17
Issa Diop,Centre-Back,England,England,17
Matt Targett,Left-Back,England,England,17
Tyler Adams,Defensive Midfield,Germany,England,17
Rasmus Højlund,Centre-Forward,Austria,Italy,17
Wout Faes,Centre-Back,France,England,17
Aaron Hickey,Left-Back,Italy,England,16
Hee-chan Hwang,Centre-Forward,Germany,England,16
Brian Brobbey,Centre-Forward,Germany,Netherlands,16
Tanguy Nianzou,Centre-Back,Germany,Spain,16
Roman Yaremchuk,Centre-Forward,Portugal,Belgium,16
André-Frank Zambo Anguissa,Defensive Midfield,England,Italy,15
Renato Sanches,Central Midfield,France,France,15
Leander Dendoncker,Defensive Midfield,England,England,15
Mohamed Camara,Defensive Midfield,Austria,Monaco,15
David Neres,Right Winger,Ukraine,Portugal,15
Gaëtan Laborde,Centre-Forward,France,France,15
Tyrell Malacia,Left-Back,Netherlands,England,15
Marcos Senesi,Centre-Back,Netherlands,England,15
Takumi Minamino,Left Winger,England,Monaco,15
Mikkel Damsgaard,Left Winger,Italy,England,15
