Name,Position,Age,Country_from,Country_to,Transfer fee
Antony,Right Winger,22,Netherlands,England,95
Wesley Fofana,Centre-Back,21,England,England,80
Aurélien Tchouaméni,Defensive Midfield,22,Monaco,Spain,80
Darwin Núñez,Centre-Forward,23,Portugal,England,75
Casemiro,Defensive Midfield,30,Spain,England,70
Alexander Isak,Centre-Forward,22,Spain,England,70
Matthijs de Ligt,Centre-Back,22,Italy,Germany,67
Marc Cucurella,Left-Back,24,England,England,65
Erling Haaland,Centre-Forward,21,Germany,England,60
Richarlison,Centre-Forward,25,England,England,58
Raphinha,Right Winger,25,England,Spain,58
Lisandro Martínez,Centre-Back,24,Netherlands,England,57
Raheem Sterling,Left Winger,27,England,England,56
Gabriel Jesus,Centre-Forward,25,England,England,52
Jules Koundé,Centre-Back,23,Spain,Spain,50
Cristian Romero,Centre-Back,24,Italy,England,50
Kalvin Phillips,Defensive Midfield,26,England,England,49
Robert Lewandowski,Centre-Forward,33,Germany,Spain,45
Matheus Nunes,Central Midfield,23,Portugal,England,45
Lucas Paquetá,Attacking Midfield,25,France,England,42
Vitinha,Central Midfield,22,Portugal,France,41
Bremer,Centre-Back,25,Italy,Italy,41
Federico Chiesa,Right Winger,24,Italy,Italy,40
Nuno Mendes,Left-Back,20,Portugal,France,38
Kalidou Koulibaly,Centre-Back,31,Italy,England,38
Sven Botman,Centre-Back,22,France,England,37
Gianluca Scamacca,Centre-Forward,23,Italy,England,36
Fábio Vieira,Attacking Midfield,22,Portugal,England,35
Nayef Aguerd,Centre-Back,26,France,England,35
Oleksandr Zinchenko,Left-Back,25,England,England,35
Amadou Onana,Defensive Midfield,20,France,England,35
Sadio Mané,Left Winger,30,England,Germany,32
Gonçalo Guedes,Left Winger,25,Spain,England,32
Brenden Aaronson,Attacking Midfield,21,Austria,England,32
Charles De Ketelaere,Attacking Midfield,21,Belgium,Italy,32
Diego Carlos,Centre-Back,29,Spain,England,31
Sébastien Haller,Centre-Forward,28,Netherlands,Germany,31
Steven Bergwijn,Left Winger,24,England,Netherlands,31
Karim Adeyemi,Right Winger,20,Austria,Germany,30
Yves Bissouma,Central Midfield,25,England,England,29
Morgan Gibbs-White,Attacking Midfield,22,England,England,29
Amine Gouiri,Centre-Forward,22,France,France,28
David Raum,Left-Back,24,Germany,Germany,26
Luis Sinisterra,Left Winger,23,Netherlands,England,25
Nathan Collins,Centre-Back,21,England,England,24
Dwight McNeil,Left Winger,22,England,England,24
Fabián Ruiz ,Central Midfield,26,Italy,France,23
Joaquin Correa,Second Striker,27,Italy,Italy,23
Calvin Bassey,Centre-Back,22,Scotland,Netherlands,23
JÃ rÃ mie Boga,Left Winger,25,Italy,Italy,22
Sofiane Diop,Left Winger,22,Monaco,France,22
Cheick Doucouré,Defensive Midfield,22,France,England,22
Ederson,Central Midfield,22,Italy,Italy,21
Timo Werner,Centre-Forward,26,England,Germany,20
Nico Schlotterbeck,Centre-Back,22,Germany,Germany,20
Merih Demiral,Centre-Back,24,Italy,Italy,20
João Palhinha,Defensive Midfield,26,Portugal,England,20
Maxwel Cornet,Left Winger,25,England,England,20
Taiwo Awoniyi,Centre-Forward,24,Germany,England,20
Philippe Coutinho,Left Winger,30,Spain,England,20
David Carmo,Centre-Back,22,Portugal,Portugal,20
Neco Williams,Right-Back,21,England,England,20
Mathys Tel,Centre-Forward,17,France,Germany,20
Nahuel Molina,Right-Back,24,Italy,Spain,20
Arnaud Kalimuendo,Centre-Forward,20,France,France,20
Umar Sadiq,Centre-Forward,25,Spain,Spain,20
Keane Lewis-Potter,Left Winger,21,England,England,19
Arthur Theate,Centre-Back,22,Italy,France,19
Hassane Kamara,Left-Back,28,England,Italy,19
Carlos Soler,Central Midfield,25,Spain,France,18
Ryan Gravenberch,Central Midfield,20,Netherlands,Germany,18
Sasa Kalajdzic,Centre-Forward,25,Germany,England,18
Min-jae Kim,Centre-Back,25,Turkey,Italy,18
Carney Chukwuemeka,Central Midfield,18,England,England,18
Destiny Udogie,Left-Back,19,Italy,England,18
Manuel Akanji,Centre-Back,27,Germany,England,17
Pervis Estupiñán,Left-Back,24,Spain,England,17
Issa Diop,Centre-Back,25,England,England,17
Matt Targett,Left-Back,26,England,England,17
Tyler Adams,Defensive Midfield,23,Germany,England,17
Rasmus Højlund,Centre-Forward,19,Austria,Italy,17
Wout Faes,Centre-Back,24,France,England,17
Aaron Hickey,Left-Back,20,Italy,England,16
Hee-chan Hwang,Centre-Forward,26,Germany,England,16
Brian Brobbey,Centre-Forward,20,Germany,Netherlands,16
Tanguy Nianzou,Centre-Back,20,Germany,Spain,16
Roman Yaremchuk,Centre-Forward,26,Portugal,Belgium,16
André-Frank Zambo Anguissa,Defensive Midfield,26,England,Italy,15
Renato Sanches,Central Midfield,24,France,France,15
Leander Dendoncker,Defensive Midfield,27,England,England,15
Mohamed Camara,Defensive Midfield,22,Austria,Monaco,15
David Neres,Right Winger,25,Ukraine,Portugal,15
Gaëtan Laborde,Centre-Forward,28,France,France,15
Tyrell Malacia,Left-Back,22,Netherlands,England,15
Marcos Senesi,Centre-Back,25,Netherlands,England,15
Takumi Minamino,Left Winger,27,England,Monaco,15
Mikkel Damsgaard,Left Winger,22,Italy,England,15
Cesare Casadei,Central Midfield,19,Italy,England,15
Emerson,Left-Back,28,England,England,15
Masimiliano Doda´,Right-Back,23,Ukraine,Italy,14
Brais Méndez,Right Winger,25,Spain,Spain,14
Emmanuel Dennis,Centre-Forward,24,England,England,14
Djed Spence,Right-Back,21,England,England,14
Gavin Bazunu,Goalkeeper,20,England,England,14
Mohamed Bayo,Centre-Forward,24,France,France,14
Adam Hlozek,Left Winger,19,Czech Republic,Germany,13
Everton,Left Winger,26,Portugal,Brazil,13
Rasmus Kristensen,Right-Back,24,Austria,England,13
Orel Mangala,Central Midfield,24,Germany,England,13
Lucas Gourna-Douath,Defensive Midfield,18,France,Austria,13
Sékou Mara,Centre-Forward,19,France,England,13
Mattia Viti,Centre-Back,20,Italy,France,13
Sergio Gómez,Left-Back,21,Belgium,England,13
Fredrik Aursnes,Defensive Midfield,26,Netherlands,Portugal,13
Xaver Schlager,Central Midfield,24,Germany,Germany,12
Filip Kostic,Left Midfield,29,Germany,Italy,12
Thilo Kehrer,Centre-Back,25,France,England,12
Nordi Mukiele,Right-Back,24,Germany,France,12
Breel Embolo,Centre-Forward,25,Germany,Monaco,12
Pierre-Emerick Aubameyang,Centre-Forward,33,Spain,England,12
Marcão,Centre-Back,26,Turkey,Spain,12
Roméo Lavia,Defensive Midfield,18,England,England,12
Pau López,Goalkeeper,27,Italy,France,12
Marc Roca,Defensive Midfield,25,Germany,England,12
Agustín Álvarez,Centre-Forward,21,Uruguay,Italy,12
Chris Richards,Centre-Back,22,Germany,England,12
Alexis Beka Beka,Defensive Midfield,21,Russia,France,12
Stanley Nsoki,Centre-Back,23,Belgium,Germany,12
Matteo Guendouzi,Central Midfield,23,England,France,11
Neal Maupay,Centre-Forward,26,England,England,11
Jordan Veretout,Central Midfield,29,Italy,France,11
Nick Pope,Goalkeeper,30,England,England,11
Mathías Olivera,Left-Back,24,Spain,Italy,11
Momo Cho,Centre-Forward,18,France,Spain,11
Marcus Tavernier,Central Midfield,23,England,England,11
Julio Enciso,Second Striker,18,Paraguay,England,11
Jørgen Strand Larsen,Centre-Forward,22,Netherlands,Spain,11
